id;company_id;provider_id;name;fullname;has_wifi;has_plug;has_adjustable_seats;has_bicycle;transport_type
44;9;179;hkx;HKX;False;False;False;False;bus
45;9;181;euroBus;Euro Bus;False;False;False;False;bus
46;9;185;onebus;ONEBUS;False;False;False;False;bus
47;9;189;usedomerBaderbahn;Usedomer Baderbahn;False;False;False;False;bus
48;9;195;vincek;Vincek;False;False;False;False;bus
49;9;203;semitimes;SemiTimeS;False;False;False;False;bus
50;9;205;citybusexpress;CityBusExpress;False;False;False;False;bus
51;9;207;unionivkoni;UnionIVKONI;False;False;False;False;bus
52;9;209;mikanovicOmnibus;Mikanovic Omnibus;False;False;False;False;bus
53;9;213;brabusz;Brabusz;False;False;False;False;bus
54;9;215;srbijaToursInternational;Srbija Tours International;False;False;False;False;bus
55;9;217;autoherc;AUTOHERC;False;False;False;False;bus
56;9;219;jaskaTurist;Jaska Turist;False;False;False;False;bus
57;9;221;europabusKarlovac;Europabus Karlovac;False;False;False;False;bus
58;9;223;europabusCazin;Europabus Cazin;False;False;False;False;bus
59;9;227;ireBerlinHamburg;IRE BerlinHamburg;False;False;False;False;bus
60;9;229;domoReisen;Domo Reisen;False;False;False;False;bus
61;9;267;gameksd.o.o.;Gameks d.o.o.;False;False;False;False;bus
62;9;269;ludwigReisen;Ludwig Reisen;False;False;False;False;bus
63;9;271;db;DB;False;False;False;False;bus
64;9;285;eurobusOnline;Eurobus Online;False;False;False;False;bus
66;9;289;eskanaBus;Eskana Bus;False;False;False;False;bus
67;9;291;asKarpatenKrimTours;AS Karpaten  Krim Tours;False;False;False;False;bus
68;9;293;blueLine;Blue Line;False;False;False;False;bus
69;9;295;hasTurizm;Has Turizm;False;False;False;False;bus
70;9;297;bozur;Bozur;False;False;False;False;bus
71;9;299;nationalExpress;National Express;False;False;False;False;bus
72;9;301;www.bus.today;Www.bus.today;False;False;False;False;bus
73;9;303;polluzhaTours;Polluzha Tours;False;False;False;False;bus
75;9;307;radinaVIP;Radina VIP;False;False;False;False;bus
79;9;315;busOperator;Bus Operator;False;False;False;False;bus
80;9;319;407Pattana;407 Pattana;False;False;False;False;bus
81;9;321;88ExpressBus;88 Express Bus;False;False;False;False;bus
82;9;323;99CoachlandExpress;99 Coachland Express;False;False;False;False;bus
83;9;325;adangSeaTour;Adang Sea Tour;False;False;False;False;bus
84;9;327;airUbon;Air Ubon;False;False;False;False;bus
85;9;329;alisanGoldenCoach,OneUtama;Alisan Golden Coach, One Utama;False;False;False;False;bus
86;9;331;aran;Aran;False;False;False;False;bus
87;9;333;bangkokBusline;Bangkok Busline;False;False;False;False;bus
88;9;335;bellTravel;Bell Travel;False;False;False;False;bus
89;9;337;billionStarsExpress;Billion Stars Express;False;False;False;False;bus
90;9;339;budsarakhamTour;Budsarakham Tour;False;False;False;False;bus
91;9;341;burapha;Burapha;False;False;False;False;bus
92;9;343;busExpress;Bus Express;False;False;False;False;bus
93;9;345;cepatSediaExpress;Cepat Sedia Express;False;False;False;False;bus
94;9;347;chanapaiTour;Chanapai Tour;False;False;False;False;bus
95;9;349;csTravelTours;CS Travel  Tours;False;False;False;False;bus
96;9;351;delimaExpress;Delima Express;False;False;False;False;bus
97;9;353;eagleExpress;Eagle Express;False;False;False;False;bus
98;9;355;eraMesraExpress;ERA Mesra Express;False;False;False;False;bus
99;9;357;esanTour;Esan Tour;False;False;False;False;bus
100;9;359;etikaDeltaSdnBhd;Etika Delta Sdn Bhd;False;False;False;False;bus
101;9;361;fiveStarsExecutiveExpress;Five Stars  Executive Express;False;False;False;False;bus
102;9;363;goldenCoachExpress;Golden Coach Express;False;False;False;False;bus
103;9;365;gtExpress;GT Express;False;False;False;False;bus
104;9;367;hatyaiInterTopExpress;Hatyai Inter Top Express;False;False;False;False;bus
105;9;369;hidayahSutera;Hidayah Sutera;False;False;False;False;bus
106;9;371;jasmineExpress;Jasmine Express;False;False;False;False;bus
107;9;373;kesatuanExpress;Kesatuan Express;False;False;False;False;bus
108;9;375;kingdomTour;Kingdom Tour;False;False;False;False;bus
109;9;377;kkklExpress;KKKL Express;False;False;False;False;bus
110;9;379;kmkStarcoach;KMK Starcoach;False;False;False;False;bus
111;9;381;komtarGunungRaya;Komtar Gunung Raya;False;False;False;False;bus
112;9;383;konsortiumBasEkspres;Konsortium Bas Ekspres;False;False;False;False;bus
113;9;385;kpbExpress;KPB Express;False;False;False;False;bus
114;9;387;kraduengTour;Kradueng Tour;False;False;False;False;bus
115;9;389;kwanCheeVeeTour;Kwan Chee Vee Tour;False;False;False;False;bus
116;9;391;kwokPingExpress;Kwok Ping Express;False;False;False;False;bus
117;9;393;lignite;Lignite;False;False;False;False;bus
118;9;395;ligniteTour;Lignite Tour;False;False;False;False;bus
119;9;397;lotusPhibunTour;Lotus Phibun Tour;False;False;False;False;bus
120;9;399;mayangSariExpress;Mayang Sari Express;False;False;False;False;bus
121;9;401;nakhonSi;Nakhon Si;False;False;False;False;bus
122;9;403;newViriya;New Viriya;False;False;False;False;bus
123;9;405;niomitTour;Niomit Tour;False;False;False;False;bus
124;9;407;pattayaBus;Pattaya Bus;False;False;False;False;bus
125;9;409;phantip1970;Phantip 1970;False;False;False;False;bus
126;9;411;phetPrasert;Phet Prasert;False;False;False;False;bus
127;9;413;phuLuangTour;Phu Luang Tour;False;False;False;False;bus
128;9;415;phuketTravel;Phuket Travel;False;False;False;False;bus
129;9;417;piya;Piya;False;False;False;False;bus
130;9;419;piyaChaiPatthana;Piya Chai Patthana;False;False;False;False;bus
131;9;421;piyaPrasertTour;Piya Prasert Tour;False;False;False;False;bus
